feature,coefficient,abs_coefficient
MMSE,-2.5895297480525565,2.5895297480525565
hippocampus_laterality_ratio,-0.5236620124890184,0.5236620124890184
hippocampus_left_wm_voxels,0.47452628124606977,0.47452628124606977
middle_temporal_left_wm_voxels,-0.4560553695244283,0.4560553695244283
ventricle_left_gm_voxels,-0.3944189489202818,0.3944189489202818
inferior_temporal_laterality_ratio,0.3879886172144362,0.3879886172144362
middle_temporal_right_wm_voxels,0.3870659220011839,0.3870659220011839
entorhinal_laterality_ratio,-0.3783240069298793,0.3783240069298793
hippocampus_left_csf_voxels,-0.37480982087131376,0.37480982087131376
middle_temporal_left_csf_voxels,0.3710973438772366,0.3710973438772366
hippocampus_right_wm_voxels,-0.3612440952621554,0.3612440952621554
hippocampus_right_csf_voxels,0.3073342044923989,0.3073342044923989
ventricle_right_gm_voxels,-0.29390750994373804,0.29390750994373804
inferior_temporal_right_csf_voxels,-0.2896321101383234,0.2896321101383234
entorhinal_asymmetry_index,0.27109784802391257,0.27109784802391257
Educ,-0.2571939748848954,0.2571939748848954
wm_to_etiv,0.2478447963959628,0.2478447963959628
middle_temporal_left_gm_voxels,-0.24489834470478666,0.24489834470478666
middle_temporal_left_voxels,-0.24489834470478666,0.24489834470478666
middle_temporal_left_volume_mm3,-0.24489834470478666,0.24489834470478666
middle_temporal_left_tissue_fraction,-0.24489834470478475,0.24489834470478475
ventricle_laterality_ratio,0.22838260482071052,0.22838260482071052
csf_to_etiv,-0.21707284371469332,0.21707284371469332
entorhinal_left_wm_voxels,-0.21673709997592938,0.21673709997592938
M/F,0.20703675239145736,0.20703675239145736
entorhinal_right_wm_voxels,0.204153965168802,0.204153965168802
inferior_temporal_right_tissue_fraction,0.20267625215257107,0.20267625215257107
inferior_temporal_right_volume_mm3,0.2026762521525695,0.2026762521525695
inferior_temporal_right_voxels,0.2026762521525695,0.2026762521525695
inferior_temporal_right_gm_voxels,0.2026762521525695,0.2026762521525695
Subject_ID,-0.19510148741169234,0.19510148741169234
entorhinal_right_gm_voxels,-0.1858475437639252,0.1858475437639252
entorhinal_right_volume_mm3,-0.1858475437639252,0.1858475437639252
entorhinal_right_voxels,-0.1858475437639252,0.1858475437639252
entorhinal_right_tissue_fraction,-0.18584754376392393,0.18584754376392393
csf_to_brain_ratio,-0.17613669900330717,0.17613669900330717
gm_vol_mm3,-0.1742746655804401,0.1742746655804401
gm_frac,-0.17410881531542974,0.17410881531542974
gm_voxels,-0.1737313882978999,0.1737313882978999
entorhinal_left_csf_voxels,0.17233789660692822,0.17233789660692822
ventricle_right_to_etiv,-0.16693427580596168,0.16693427580596168
middle_temporal_asymmetry_index,-0.16201251691922933,0.16201251691922933
entorhinal_bilateral_to_etiv,0.1606537836674539,0.1606537836674539
ventricle_asymmetry_index,-0.16020455458025465,0.16020455458025465
middle_temporal_bilateral_volume_mm3,-0.15673513995456065,0.15673513995456065
brain_parenchyma_vol_mm3,-0.15231127654320037,0.15231127654320037
csf_vol_mm3,0.15228499729684994,0.15228499729684994
brain_parenchyma_frac,-0.15211169493543594,0.15211169493543594
reconstructed_nwbv,-0.15211169493543594,0.15211169493543594
csf_frac,0.15211169493543145,0.15211169493543145
ventricle_bilateral_to_etiv,-0.15152997616536176,0.15152997616536176
hippocampus_right_volume_mm3,-0.14659271789399267,0.14659271789399267
hippocampus_right_voxels,-0.14659271789399267,0.14659271789399267
hippocampus_right_gm_voxels,-0.14659271789399267,0.14659271789399267
hippocampus_right_tissue_fraction,-0.1465927178939925,0.1465927178939925
csf_voxels,0.14609412955001275,0.14609412955001275
inferior_temporal_bilateral_volume_mm3,0.14066338586595906,0.14066338586595906
ventricle_left_to_etiv,-0.13343472629219838,0.13343472629219838
inferior_temporal_asymmetry_index,0.12469345554159628,0.12469345554159628
nWBV,-0.12252718521600628,0.12252718521600628
brain_parenchyma_to_etiv,0.11498640993851215,0.11498640993851215
hippocampus_left_volume_mm3,0.11281828889309448,0.11281828889309448
hippocampus_left_gm_voxels,0.11281828889309448,0.11281828889309448
hippocampus_left_voxels,0.11281828889309448,0.11281828889309448
hippocampus_left_tissue_fraction,0.11281828889309377,0.11281828889309377
hippocampus_asymmetry_index,0.11061563473567047,0.11061563473567047
middle_temporal_right_csf_voxels,-0.10498974331537633,0.10498974331537633
inferior_temporal_left_csf_voxels,-0.10483781690597484,0.10483781690597484
entorhinal_bilateral_volume_mm3,-0.10006431907540031,0.10006431907540031
eTIV,0.09975568879059274,0.09975568879059274
ventricle_left_csf_voxels,0.09397027847139129,0.09397027847139129
ventricle_left_voxels,0.09397027847139129,0.09397027847139129
ventricle_left_volume_mm3,0.09397027847139129,0.09397027847139129
ventricle_left_tissue_fraction,0.09397027847139067,0.09397027847139067
SES,-0.08579484845005785,0.08579484845005785
ventricle_bilateral_volume_mm3,0.0706410758688257,0.0706410758688257
inferior_temporal_left_tissue_fraction,0.06668300117690798,0.06668300117690798
inferior_temporal_left_voxels,0.06668300117690695,0.06668300117690695
inferior_temporal_left_gm_voxels,0.06668300117690695,0.06668300117690695
inferior_temporal_left_volume_mm3,0.06668300117690695,0.06668300117690695
inferior_temporal_left_wm_voxels,0.06473088739130763,0.06473088739130763
gm_wm_ratio,-0.05602788045158984,0.05602788045158984
middle_temporal_laterality_ratio,-0.05571599354580163,0.05571599354580163
middle_temporal_right_tissue_fraction,-0.04733180825049436,0.04733180825049436
middle_temporal_right_gm_voxels,-0.04733180825049293,0.04733180825049293
middle_temporal_right_volume_mm3,-0.04733180825049293,0.04733180825049293
middle_temporal_right_voxels,-0.04733180825049293,0.04733180825049293
ventricle_right_tissue_fraction,0.04550896869025351,0.04550896869025351
ventricle_right_voxels,0.04550896869025227,0.04550896869025227
ventricle_right_csf_voxels,0.04550896869025227,0.04550896869025227
ventricle_right_volume_mm3,0.04550896869025227,0.04550896869025227
ventricle_right_wm_voxels,0.04225477976127198,0.04225477976127198
total_segmented_vol_mm3,-0.04082494914840275,0.04082494914840275
hippocampus_left_to_etiv,0.03706167975849763,0.03706167975849763
ventricle_left_wm_voxels,0.0336510043535844,0.0336510043535844
total_temporal_lobe_volume_mm3,-0.03195131015640096,0.03195131015640096
inferior_temporal_right_wm_voxels,0.03130833858513393,0.03130833858513393
gm_to_etiv,0.029851202255961048,0.029851202255961048
hippocampus_bilateral_volume_mm3,-0.023966710212475362,0.023966710212475362
ASF,-0.021625612544175412,0.021625612544175412
wm_voxels,0.018806827670174216,0.018806827670174216
hippocampus_to_temporal_ratio,0.01666399901551485,0.01666399901551485
hippocampus_bilateral_to_etiv,0.016551468232823205,0.016551468232823205
entorhinal_right_csf_voxels,-0.015509262208319986,0.015509262208319986
nwbv_abs_error,-0.01036160802441464,0.01036160802441464
wm_vol_mm3,-0.007104140389399395,0.007104140389399395
wm_frac,-0.006804211618709153,0.006804211618709153
Age,-0.004387881341325204,0.004387881341325204
hippocampus_right_to_etiv,-0.0031452521064982233,0.0031452521064982233
entorhinal_left_tissue_fraction,0.001635257060784558,0.001635257060784558
entorhinal_left_volume_mm3,0.0016352570607827705,0.0016352570607827705
entorhinal_left_voxels,0.0016352570607827705,0.0016352570607827705
