model,accuracy,precision,recall,f1_score,roc_auc
random_forest,0.7738095238095238,0.5217391304347826,0.6,0.5581395348837209,0.875
logistic_regression,0.75,0.47619047619047616,0.5,0.4878048780487805,0.8578125
svm,0.7857142857142857,0.5416666666666666,0.65,0.5909090909090908,0.8640625
xgboost,0.8571428571428571,0.6818181818181818,0.75,0.7142857142857143,0.921875
gradient_boosting,0.8333333333333334,0.65,0.65,0.65,0.9007812500000001
knn,0.7857142857142857,0.5357142857142857,0.75,0.6250000000000001,0.876171875
naive_bayes,0.7976190476190477,0.5517241379310345,0.8,0.6530612244897959,0.870703125
adaboost,0.8095238095238095,0.625,0.5,0.5555555555555556,0.89296875
