model,accuracy,precision,recall,f1_score,roc_auc
random_forest,0.8333333333333334,0.6363636363636364,0.7,0.6666666666666666,0.91953125
logistic_regression,0.8690476190476191,0.6956521739130435,0.8,0.7441860465116279,0.94453125
svm,0.7976190476190477,0.5789473684210527,0.55,0.5641025641025641,0.9015625
xgboost,0.9047619047619048,0.8,0.8,0.8000000000000002,0.9375
gradient_boosting,0.8690476190476191,0.7142857142857143,0.75,0.7317073170731706,0.9406249999999999
knn,0.7976190476190477,0.5555555555555556,0.75,0.6382978723404256,0.8667968749999999
naive_bayes,0.8095238095238095,0.5666666666666667,0.85,0.68,0.8804687499999999
adaboost,0.8809523809523809,0.75,0.75,0.75,0.9453125
