model,accuracy,precision,recall,f1_score,roc_auc
random_forest,0.7976190476190477,0.5652173913043478,0.65,0.6046511627906976,0.88203125
logistic_regression,0.75,0.47619047619047616,0.5,0.4878048780487805,0.85546875
svm,0.7976190476190477,0.56,0.7,0.6222222222222222,0.865625
xgboost,0.8452380952380952,0.6666666666666666,0.7,0.6829268292682926,0.9195312499999999
gradient_boosting,0.8095238095238095,0.625,0.5,0.5555555555555556,0.90234375
knn,0.7976190476190477,0.5555555555555556,0.75,0.6382978723404256,0.863671875
naive_bayes,0.7976190476190477,0.5517241379310345,0.8,0.6530612244897959,0.870703125
adaboost,0.8095238095238095,0.625,0.5,0.5555555555555556,0.89296875
