model,accuracy_phase1,f1_score_phase1,roc_auc_phase1,accuracy_phase2,f1_score_phase2,roc_auc_phase2,acc_delta,f1_delta,auc_delta
logistic_regression,0.8809523809523809,0.75,0.93828125,0.8690476190476191,0.7441860465116279,0.94453125,-0.011904761904761862,-0.005813953488372103,0.006250000000000089
adaboost,0.8809523809523809,0.7368421052631577,0.93046875,0.8809523809523809,0.75,0.9453125,0.0,0.013157894736842257,0.014843750000000044
xgboost,0.8690476190476191,0.7317073170731706,0.9359375,0.9047619047619048,0.8000000000000002,0.9375,0.0357142857142857,0.06829268292682955,0.0015625000000000222
naive_bayes,0.8690476190476191,0.7755102040816326,0.95390625,0.8095238095238095,0.68,0.8804687499999999,-0.059523809523809534,-0.09551020408163258,-0.07343750000000004
svm,0.8571428571428571,0.7,0.92265625,0.7976190476190477,0.5641025641025641,0.9015625,-0.05952380952380942,-0.13589743589743586,-0.02109374999999991
random_forest,0.8452380952380952,0.6666666666666667,0.93828125,0.8333333333333334,0.6666666666666666,0.91953125,-0.011904761904761862,-1.1102230246251565e-16,-0.018749999999999933
gradient_boosting,0.8452380952380952,0.6829268292682926,0.92578125,0.8690476190476191,0.7317073170731706,0.9406249999999999,0.023809523809523836,0.04878048780487798,0.014843749999999933
knn,0.8095238095238095,0.5789473684210527,0.889453125,0.7976190476190477,0.6382978723404256,0.8667968749999999,-0.011904761904761862,0.05935050391937291,-0.022656250000000044
