model,accuracy,precision,recall,f1_score,roc_auc,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,training_time
logistic_regression,0.8928571428571429,0.7619047619047619,0.8,0.7804878048780488,0.94296875,0.8975576662143826,0.029189670142794822,0.7694813409234661,0.08007427756696489,0.9631127450980392,0.015176703334588593,1.3610188961029053
xgboost,0.8690476190476191,0.6956521739130435,0.8,0.7441860465116279,0.93046875,0.8976481230212574,0.02568463648871471,0.7853276353276353,0.04544548027942152,0.9686911764705883,0.010483225648258754,1.1405329704284668
naive_bayes,0.8690476190476191,0.6551724137931034,0.95,0.7755102040816326,0.95390625,0.8614654002713704,0.01730280538906593,0.7414692114835586,0.02615918235257812,0.9592941176470589,0.010997266882854692,0.045041799545288086
gradient_boosting,0.8571428571428571,0.6818181818181818,0.75,0.7142857142857143,0.9203125,0.9037087290818635,0.024041949043997778,0.8020408800124823,0.043405469358209235,0.9769411764705882,0.004577376332233301,0.7456550598144531
adaboost,0.8571428571428571,0.7,0.7,0.7,0.9374999999999999,0.8886476707372231,0.027547253846100034,0.7627994067482388,0.05756569036654896,0.9657745098039217,0.006787872380734006,0.20903491973876953
random_forest,0.8452380952380952,0.6666666666666666,0.7,0.6829268292682926,0.93359375,0.906693803708729,0.010668152288647308,0.7954743894232215,0.028885636179866774,0.9705392156862747,0.009833790285162142,5.7929887771606445
svm,0.8452380952380952,0.6521739130434783,0.75,0.6976744186046512,0.90078125,0.891542288557214,0.04086045208665588,0.7490713208360267,0.10720574270802789,0.940735294117647,0.04386750162662486,0.05633282661437988
knn,0.8333333333333334,0.65,0.65,0.65,0.882421875,0.8766169154228856,0.034361860934174114,0.7194742753363443,0.0869842763862119,0.932828431372549,0.038769036077785264,0.08927297592163086
