feature,coefficient,abs_coefficient
MMSE,-2.2167934222974726,2.2167934222974726
nWBV,-0.9978727418844013,0.9978727418844013
Age,0.8681236854985691,0.8681236854985691
M/F,0.3537636302935437,0.3537636302935437
eTIV,0.25502199865265174,0.25502199865265174
ASF,0.24810680769191906,0.24810680769191906
Educ,-0.18202467024686197,0.18202467024686197
SES,-0.1291560693929911,0.1291560693929911
